scene,dataset,detector,standardized,n_px,n_anom,anom_frac,roc_auc,pr_auc,precision,recall,f1,runtime_s,peak_rss_mb,components,status,note
ang20170821t183707_110,had100,global_rx,True,4096,16,0.00390625,0.9964154411764705,0.825509330334698,0.12698412698412698,1.0,0.22535211267605632,0.18643444099870976,60.082854,,ok,
ang20170821t183707_110,had100,local_rx,True,4096,16,0.00390625,0.9810049019607844,0.5861151326676085,0.014883720930232559,1.0,0.02933088909257562,0.18875749099970562,35.539474,,ok,
ang20170821t183707_110,had100,kernel_rx,True,4096,16,0.00390625,0.9988817401960784,0.8525298699334544,0.42105263157894735,1.0,0.5925925925925926,1.1355017950045294,169.712419,,ok,
ang20170821t183707_110,had100,crd,True,4096,16,0.00390625,0.9989430147058823,0.749941603262205,0.5333333333333333,1.0,0.6956521739130436,28.443715522000275,866.106491,,ok,
ang20170821t183707_110,had100,fused,True,4096,16,0.00390625,0.9880208333333332,0.4269611196101779,0.06037735849056604,1.0,0.11387900355871887,1.038917351004784,60.093324,ace+index+rx+spatial,ok,
ang20170821t183707_111,had100,global_rx,True,4096,22,0.00537109375,0.9913085196590351,0.6267982267715304,0.09322033898305085,1.0,0.17054263565891473,0.1798961579988827,60.082854,,ok,
ang20170821t183707_111,had100,local_rx,True,4096,22,0.00537109375,0.9036796536796536,0.36026868132488465,0.006674757281553398,1.0,0.013261000602772756,0.23043827900255565,35.539474,,ok,
ang20170821t183707_111,had100,kernel_rx,True,4096,22,0.00537109375,0.9996764403980899,0.9563199563199564,0.5945945945945946,1.0,0.7457627118644068,1.1375132760003908,169.712371,,ok,
ang20170821t183707_111,had100,crd,True,4096,22,0.00537109375,0.9982036863480163,0.7956545555946211,0.3384615384615385,1.0,0.5057471264367815,29.586224860002403,866.106491,,ok,
ang20170821t183707_111,had100,fused,True,4096,22,0.00537109375,0.9060784576248494,0.1574848046161905,0.012925969447708578,1.0,0.025522041763341066,0.7940134430027683,60.093369,ace+index+rx+spatial,ok,
ang20170821t183707_112,had100,global_rx,True,4096,118,0.02880859375,0.9658375301446089,0.6549303413982814,0.1187308085977482,0.9830508474576272,0.2118721461187215,0.08532715299952542,60.0829,,ok,
ang20170821t183707_112,had100,local_rx,True,4096,118,0.02880859375,0.7604984192720982,0.30594645446215796,0.029781771501925545,0.9830508474576272,0.05781211064041864,0.3983167679980397,35.539469,,ok,
ang20170821t183707_112,had100,kernel_rx,True,4096,118,0.02880859375,0.9876630791386525,0.8609084275271092,0.19365609348914858,0.9830508474576272,0.3235704323570432,1.125888993999979,169.712417,,ok,
ang20170821t183707_112,had100,crd,True,4096,118,0.02880859375,0.9483195712009271,0.4791673924843175,0.11934156378600823,0.9830508474576272,0.2128440366972477,29.0693874100034,866.106491,,ok,
ang20170821t183707_112,had100,fused,True,4096,118,0.02880859375,0.7848303380456919,0.2899363051739327,0.03411764705882353,0.9830508474576272,0.06594656054576464,0.7120008480051183,60.093176,ace+index+rx+spatial,ok,
ang20170821t183707_113,had100,global_rx,True,4096,10,0.00244140625,0.999608418991679,0.7995959595959595,0.8333333333333334,1.0,0.9090909090909091,0.23759845300082816,60.082854,,ok,
ang20170821t183707_113,had100,local_rx,True,4096,10,0.00244140625,0.9858786098874205,0.737733173998393,0.019193857965451054,1.0,0.03766478342749528,0.2623947419997421,35.539316,,ok,
ang20170821t183707_113,had100,kernel_rx,True,4096,10,0.00244140625,0.9999755261869799,0.9909090909090909,0.9090909090909091,1.0,0.9523809523809523,1.1608591249969322,169.712417,,ok,
ang20170821t183707_113,had100,crd,True,4096,10,0.00244140625,0.9982623592755752,0.9123456790123456,0.12345679012345678,1.0,0.21978021978021975,28.892588814996998,866.106491,,ok,
ang20170821t183707_113,had100,fused,True,4096,10,0.00244140625,0.9887420460107685,0.7122707566132132,0.04081632653061224,1.0,0.07843137254901959,0.7542827910001506,60.093324,ace+index+rx+spatial,ok,
ang20170821t183707_114,had100,global_rx,True,4096,13,0.003173828125,0.9991522070875488,0.6826325445076545,0.5652173913043478,1.0,0.7222222222222222,0.13608102000580402,60.0829,,ok,
ang20170821t183707_114,had100,local_rx,True,4096,13,0.003173828125,0.9787674975037208,0.4377681577618013,0.014508928571428572,1.0,0.028602860286028604,0.18095789400103968,35.53952,,ok,
ang20170821t183707_114,had100,kernel_rx,True,4096,13,0.003173828125,0.9994536445675314,0.8760844283921208,0.52,1.0,0.6842105263157895,1.1444332399987616,169.712463,,ok,
ang20170821t183707_114,had100,crd,True,4096,13,0.003173828125,0.9987377305525726,0.8211807272364919,0.3023255813953488,1.0,0.46428571428571425,29.82505732699792,866.106491,,ok,
ang20170821t183707_114,had100,fused,True,4096,13,0.003173828125,0.9912959927655005,0.4933746117765756,0.07065217391304347,1.0,0.13197969543147206,1.0088567649945617,60.093232,ace+index+rx+spatial,ok,
ang20170821t183707_115,had100,global_rx,True,4096,30,0.00732421875,0.9977537301196917,0.7769777352288476,0.45454545454545453,1.0,0.625,0.20406392499717185,60.082854,,ok,
ang20170821t183707_115,had100,local_rx,True,4096,30,0.00732421875,0.7646991310050828,0.22187143147528546,0.007930214115781126,1.0,0.015735641227380016,0.2737641369967605,35.53952,,ok,
ang20170821t183707_115,had100,kernel_rx,True,4096,30,0.00732421875,0.9974913920314805,0.6747486069764828,0.45454545454545453,1.0,0.625,1.087734526998247,169.712417,,ok,
ang20170821t183707_115,had100,crd,True,4096,30,0.00732421875,0.992367601246106,0.5125565419965848,0.09174311926605505,1.0,0.16806722689075632,28.45198731099663,866.106491,,ok,
ang20170821t183707_115,had100,fused,True,4096,30,0.00732421875,0.8496966715855058,0.3210846080373157,0.009778357235984355,1.0,0.019367333763718526,0.8303028750015073,60.093273,ace+index+rx+spatial,ok,
ang20170821t183707_116,had100,global_rx,True,4096,12,0.0029296875,0.9675767221678093,0.34506120354311176,0.01085972850678733,1.0,0.021486123545210387,0.20478518299933057,60.0829,,ok,
ang20170821t183707_116,had100,local_rx,True,4096,12,0.0029296875,0.9889609859614756,0.6099561945990518,0.03116883116883117,1.0,0.060453400503778336,0.44622149800125044,35.539474,,ok,
ang20170821t183707_116,had100,kernel_rx,True,4096,12,0.0029296875,0.9958782239634345,0.6563957600806037,0.15384615384615385,1.0,0.2666666666666667,1.207164917999762,169.712371,,ok,
ang20170821t183707_116,had100,crd,True,4096,12,0.0029296875,0.9714536402220046,0.4767653777069113,0.019417475728155338,1.0,0.03809523809523809,28.271935429998848,866.106491,,ok,
ang20170821t183707_116,had100,fused,True,4096,12,0.0029296875,0.9982655892915442,0.5778374811463046,0.2857142857142857,1.0,0.4444444444444445,0.8100943090030341,60.093232,ace+index+rx+spatial,ok,
ang20170821t183707_117,had100,global_rx,True,4096,25,0.006103515625,0.7837975927290592,0.026805631339339626,0.00973141300116777,1.0,0.019275250578257516,0.21346970899321605,60.082854,,ok,
ang20170821t183707_117,had100,local_rx,True,4096,25,0.006103515625,0.9034635224760501,0.3291152686856371,0.010305028854080791,1.0,0.020399836801305592,0.4166375380009413,35.539515,,ok,
ang20170821t183707_117,had100,kernel_rx,True,4096,25,0.006103515625,0.9945566199950873,0.5695081845184506,0.17123287671232876,1.0,0.29239766081871343,1.1222164840000914,169.712463,,ok,
ang20170821t183707_117,had100,crd,True,4096,25,0.006103515625,0.9067354458364039,0.11420727817157444,0.011155734047300312,1.0,0.022065313327449248,28.45249491499999,866.106491,,ok,
ang20170821t183707_117,had100,fused,True,4096,25,0.006103515625,0.882343404568902,0.055389714844763044,0.007271669575334497,1.0,0.014438348252959862,0.5800966059978236,60.093232,ace+index+rx+spatial,ok,
ang20170821t183707_118,had100,global_rx,True,4096,23,0.005615234375,0.9992207431761654,0.9290641811621452,0.3108108108108108,1.0,0.4742268041237113,0.24628605200268794,60.082854,,ok,
ang20170821t183707_118,had100,local_rx,True,4096,23,0.005615234375,0.9409793016577889,0.5750162686616507,0.009248090068355449,1.0,0.018326693227091635,0.40373354999610456,35.539423,,ok,
ang20170821t183707_118,had100,kernel_rx,True,4096,23,0.005615234375,0.9981532680750221,0.9616237799467611,0.11734693877551021,1.0,0.21004566210045664,1.224172426002042,169.712419,,ok,
ang20170821t183707_118,had100,crd,True,4096,23,0.005615234375,0.9989111753968338,0.9131051232625443,0.26436781609195403,1.0,0.4181818181818182,29.472023877002357,866.106491,,ok,
ang20170821t183707_118,had100,fused,True,4096,23,0.005615234375,0.9696089838704512,0.37920661871112443,0.018488745980707395,1.0,0.03630623520126282,0.753696765001223,60.093319,ace+index+rx+spatial,ok,
ang20170821t183707_119,had100,global_rx,True,4096,25,0.006103515625,0.8699975436010808,0.485001619268488,0.008710801393728223,1.0,0.017271157167530225,0.20277243800228462,60.082854,,ok,
ang20170821t183707_119,had100,local_rx,True,4096,25,0.006103515625,0.8547580447064603,0.5191259092730683,0.00776156473144986,1.0,0.015403573629081945,0.20465592000255128,35.539469,,ok,
ang20170821t183707_119,had100,kernel_rx,True,4096,25,0.006103515625,0.9714566445590764,0.6904384460521537,0.036337209302325583,1.0,0.07012622720897617,1.1505114909959957,169.712417,,ok,
ang20170821t183707_119,had100,crd,True,4096,25,0.006103515625,0.9246376811594204,0.5031396493619877,0.01203659123736158,1.0,0.023786869647954328,29.46820430400112,866.106491,,ok,
ang20170821t183707_119,had100,fused,True,4096,25,0.006103515625,0.9065978874969295,0.36153066790020305,0.0120598166907863,1.0,0.023832221163012392,0.5383973900025012,60.093125,ace+index+rx+spatial,ok,
ang20170821t183707_120,had100,global_rx,True,4096,12,0.0029296875,0.999673522690173,0.9093844268476621,0.7058823529411765,1.0,0.8275862068965517,0.20150991000264185,60.082854,,ok,
ang20170821t183707_120,had100,local_rx,True,4096,12,0.0029296875,0.9810439111981717,0.7160518156581562,0.024793388429752067,1.0,0.048387096774193554,0.29594818099576514,35.539423,,ok,
ang20170821t183707_120,had100,kernel_rx,True,4096,12,0.0029296875,0.9999795951681357,0.9935897435897437,0.9230769230769231,1.0,0.9600000000000001,1.1058491189978668,169.712417,,ok,
ang20170821t183707_120,had100,crd,True,4096,12,0.0029296875,0.9994286647078028,0.9049242424242424,0.4,1.0,0.5714285714285715,28.753106253003352,866.106491,,ok,
ang20170821t183707_120,had100,fused,True,4096,12,0.0029296875,0.9883284361736859,0.222124687647627,0.056074766355140186,1.0,0.10619469026548672,0.8326758460025303,60.093217,ace+index+rx+spatial,ok,
ang20170821t183707_121,had100,global_rx,True,4096,20,0.0048828125,0.9944921491658488,0.7484375603703779,0.12578616352201258,1.0,0.223463687150838,0.1695450580009492,60.082854,,ok,
ang20170821t183707_121,had100,local_rx,True,4096,20,0.0048828125,0.9607948969578017,0.49032928059456216,0.009935419771485345,1.0,0.019675356615838663,0.2731514490005793,35.539469,,ok,
ang20170821t183707_121,had100,kernel_rx,True,4096,20,0.0048828125,0.9947742885181551,0.6527434658646553,0.12345679012345678,1.0,0.21978021978021975,1.1958033880000585,169.712417,,ok,
ang20170821t183707_121,had100,crd,True,4096,20,0.0048828125,0.9922841020608439,0.6754063059758915,0.10101010101010101,1.0,0.1834862385321101,28.511031137000828,866.106491,,ok,
ang20170821t183707_121,had100,fused,True,4096,20,0.0048828125,0.9511040235525025,0.5895835766105709,0.005742176284811944,1.0,0.0114187838995147,0.7536990890002926,60.093217,ace+index+rx+spatial,ok,
ang20170821t183707_122,had100,global_rx,True,4096,54,0.01318359375,0.9948595304854583,0.8532734303990765,0.23043478260869565,0.9814814814814815,0.3732394366197183,0.2012021510017803,60.0829,,ok,
ang20170821t183707_122,had100,local_rx,True,4096,54,0.01318359375,0.8428125057269046,0.33189343544388095,0.01582089552238806,0.9814814814814815,0.03113983548766158,0.29703641399828484,35.539469,,ok,
ang20170821t183707_122,had100,kernel_rx,True,4096,54,0.01318359375,0.9947999706782488,0.8964528707958488,0.1501416430594901,0.9814814814814815,0.26044226044226043,1.1130883529986022,169.712373,,ok,
ang20170821t183707_122,had100,crd,True,4096,54,0.01318359375,0.9714983414884455,0.5307682736673331,0.04981203007518797,0.9814814814814815,0.09481216457960644,29.73254531600105,866.106491,,ok,
ang20170821t183707_122,had100,fused,True,4096,54,0.01318359375,0.9016896659152969,0.44348184620217984,0.024801123069723912,0.9814814814814815,0.048379735280693746,0.6202928549973876,60.093125,ace+index+rx+spatial,ok,
ang20170821t183707_123,had100,global_rx,True,4096,45,0.010986328125,0.9852546696288982,0.6450873695472766,0.0695517774343122,1.0,0.13005780346820808,0.18349133600713685,60.082854,,ok,
ang20170821t183707_123,had100,local_rx,True,4096,45,0.010986328125,0.8510381524452124,0.23696402311929898,0.015212981744421906,1.0,0.02997002997002997,0.22123134499997832,35.539515,,ok,
ang20170821t183707_123,had100,kernel_rx,True,4096,45,0.010986328125,0.990762226062152,0.7020994843057471,0.12465373961218837,1.0,0.22167487684729067,1.182687688000442,169.712371,,ok,
ang20170821t183707_123,had100,crd,True,4096,45,0.010986328125,0.9604487232233467,0.44258240897148016,0.050335570469798654,1.0,0.09584664536741212,29.82322528700024,866.106491,,ok,
ang20170821t183707_123,had100,fused,True,4096,45,0.010986328125,0.9338023533283961,0.36840756591160956,0.01954821894005213,1.0,0.03834682573498083,0.7562529450005968,60.093033,ace+index+rx+spatial,ok,
ang20170821t183707_124,had100,global_rx,True,10000,34,0.0034,0.9995986353602248,0.9187005154595838,0.41975308641975306,1.0,0.5913043478260869,0.26569284300057916,140.43039,,ok,
ang20170821t183707_124,had100,local_rx,True,10000,34,0.0034,0.9936755557129534,0.8847193863687783,0.0225613802256138,1.0,0.04412719013627515,0.3552726609996171,233.856018,,ok,
ang20170821t183707_124,had100,kernel_rx,True,10000,34,0.0034,0.9906151503346673,0.8995611133667221,0.02773246329526917,1.0,0.05396825396825397,2.2932632960000774,351.750449,,ok,
ang20170821t183707_124,had100,crd,True,10000,34,0.0034,0.9971255208886685,0.9258529719629172,0.03881278538812785,1.0,0.07472527472527471,82.26905112499662,931.091387,,ok,
ang20170821t183707_124,had100,fused,True,10000,34,0.0034,0.9932122156508599,0.5166716767813472,0.02835696413678065,1.0,0.055150040551500405,0.9285084050061414,233.898107,ace+index+rx+spatial,ok,
ang20170821t183707_125,had100,global_rx,True,4096,18,0.00439453125,0.995354476595281,0.6383892259626645,0.10112359550561797,1.0,0.18367346938775508,0.2108566039969446,60.082854,,ok,
